Symbol,Company Name,Industry,Market Cap
IPI,Intrepid Potash,Agricultural Inputs,337.65M
IPSC,Century Therapeutics,Biotechnology,142.84M
IPVF,InterPrivate III Financial Partners,Shell Companies,89.16M
IPW,iPower,Internet Retail,23.07M
IPWR,Ideal Power,Electrical Equipment & Parts,66.80M
IPX,IperionX,Other Industrial Metals & Mining,137.75M
IPXX,Inflection Point Acquisition Corp. II Class A Ordinary Share,Shell Companies,317.80M
IQ,iQIYI,Entertainment,4.71B
IQV,IQVIA Holdings,Diagnostics & Research,40.11B
IR,Ingersoll Rand,Specialty Industrial Machinery,27.86B
IRAA,Iris Acquisition,Shell Companies,86.12M
IRBT,iRobot,"Furnishings, Fixtures & Appliances",1.08B
IRDM,Iridium Communications,Telecom Services,5.98B
IREN,Iris Energy,Capital Markets,229.83M
IRIX,IRIDEX,Medical Devices,22.72M
IRM,Iron Mountain,REIT - Specialty,17.84B
IRMD,IRadimed,Medical Devices,596.42M
IRON,Disc Medicine,Biotechnology,1.27B
IROQ,IF Bancorp,Banks - Regional,51.86M
IRRX,Integrated Rail and Resources Acquisition,Shell Companies,132.18M
IRS,IRSA Inversiones y Representaciones,Conglomerates,1.26B
IRT,Independence Realty Trust,REIT - Residential,3.70B
IRTC,iRhythm Technologies,Medical Devices,3.19B
IRWD,Ironwood Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.44B
ISDR,Issuer Direct,Software - Application,76.14M
ISPC,iSpecimen,Diagnostics & Research,10.01M
ISPO,Inspirato,Leisure,51.03M
ISPR,Ispire Technology,Tobacco,541.60M
ISRG,Intuitive Surgical,Medical Instruments & Supplies,104.55B
ISRL,Israel Acquisitions,Shell Companies,209.46M
ISSC,Innovative Solutions and Support,Aerospace & Defense,138.18M
ISTR,Investar Holding,Banks - Regional,128.00M
ISUN,"iSun, Inc.",Solar,10.47M
IT,Gartner,Information Technology Services,27.00B
ITAQ,Industrial Tech Acquisitions II,Shell Companies,61.03M
ITCI,Intra-Cellular Therapies,Drug Manufacturers - Specialty & Generic,5.28B
ITCL,Banco Itaú Chile,Banks-Regional,2.53B
ITGR,Integer Holdings,Medical Devices,2.74B
ITI,Iteris,Communication Equipment,203.02M
ITIC,Investors Title Company,Insurance - Specialty,283.20M
ITOS,iTeos Therapeutics,Biotechnology,461.59M
ITP,IT Tech Packaging,Paper & Paper Products,4.68M
ITRG,Integra Resources,Other Precious Metals & Mining,61.93M
ITRI,Itron,Scientific & Technical Instruments,3.06B
ITRM,Iterum Therapeutics,Biotechnology,11.61M
ITRN,Ituran Location and Control,Communication Equipment,604.46M
ITT,ITT Inc.,Specialty Industrial Machinery,8.07B
ITUB,Itaú Unibanco Holding,Banks - Regional,53.80B
ITW,Illinois Tool Works,Specialty Industrial Machinery,72.75B
IVA,Inventiva,Biotechnology,149.11M
IVAC,Intevac,Aerospace & Defense,90.74M
IVCA,Investcorp India Acquisition,Shell Companies,174.21M
IVCB,Investcorp Europe Acquisition Corp I,Shell Companies,297.86M
IVCP,Swiftmerge Acquisition,Shell Companies,82.81M
IVDA,Iveda Solutions,Security & Protection Services,13.16M
IVR,Invesco Mortgage Capital,REIT - Mortgage,480.13M
IVT,InvenTrust Properties,REIT - Retail,1.56B
IVVD,Invivyd,Biotechnology,204.15M
IVZ,Invesco,Asset Management,6.81B
IX,ORIX Corporation,Credit Services,21.10B
IXAQ,IX Acquisition,Shell Companies,112.36M
IXHL,Incannex Healthcare,Drug Manufacturers - Specialty & Generic,100.64M
IZEA,IZEA Worldwide,Internet Content & Information,36.00M
IZM,ICZOOM Group,Electronics & Computer Distribution,109.72M
J,Jacobs Engineering Group,Engineering & Construction,16.95B
JACK,Jack in the Box,Restaurants,1.60B
JAGX,Jaguar Health,Biotechnology,7.64M
JAKK,JAKKS Pacific,Leisure,200.46M
JAMF,Jamf Holding,Software - Application,2.08B
JAN,JanOne,Waste Management,2.19M
JANX,Janux Therapeutics,Biotechnology,507.99M
JAQC,Jupiter Acquisition,Shell Companies,61.92M
JAZZ,Jazz Pharmaceuticals,Biotechnology,8.92B
JBGS,JBG SMITH Properties,REIT - Office,1.51B
JBHT,J.B. Hunt Transport Services,Integrated Freight & Logistics,19.39B
JBI,Janus International Group,Building Products & Equipment,1.64B
JBL,Jabil,Electronic Components,13.70B
JBLU,JetBlue Airways,Airlines,1.99B
JBSS,John B. Sanfilippo & Son,Packaged Foods,1.13B
JBT,John Bean Technologies,Specialty Industrial Machinery,3.47B
JCI,Johnson Controls International,Building Products & Equipment,40.16B
JCSE,JE Cleantech Holdings,Specialty Industrial Machinery,7.16M
JCTCF,Jewett-Cameron Trading Company,Lumber & Wood Production,15.95M
JD,JD.com,Internet Retail,51.85B
JEF,Jefferies Financial Group,Capital Markets,7.67B
JELD,JELD-WEN Holding,Building Products & Equipment,1.23B
JEWL,Adamas One,Luxury Goods,26.29M
JFBR,Jeffs' Brands,Internet Retail,4.33M
JFIN,Jiayin Group,Internet Content & Information,305.63M
JFU,9F Inc.,Information Technology Services,33.08M
JG,Aurora Mobile,Software - Infrastructure,22.73M
JGGC,Jaguar Global Growth Corporation I,Shell Companies,326.91M
JHG,Janus Henderson Group,Asset Management,4.42B
JHX,James Hardie Industries,Building Materials,12.67B
JILL,J.Jill,Apparel Retail,239.86M
JJSF,J&J Snack Foods,Packaged Foods,3.09B
JKHY,Jack Henry & Associates,Information Technology Services,11.54B
JKS,JinkoSolar Holding Co.,Solar,1.56B
JLL,Jones Lang LaSalle,Real Estate Services,7.79B
JMIA,Jumia Technologies AG,Internet Retail,300.84M
JMSB,John Marshall Bancorp,Banks - Regional,263.88M
JNJ,Johnson & Johnson,Drug Manufacturers - General,432.08B
JNPR,Juniper Networks,Communication Equipment,9.02B
JNVR,Janover,Real Estate Services,12.50M
JOAN,JOANN,Specialty Retail,47.61M
JOB,GEE Group,Staffing & Employment Services,67.88M
JOBY,Joby Aviation,Airports & Air Services,4.79B
JOE,The St. Joe Company,Real Estate - Diversified,3.47B
JOUT,Johnson Outdoors,Leisure,582.05M
JPM,JPMorgan Chase & Co.,Banks - Diversified,427.34B
JRSH,Jerash Holdings (US),Apparel Manufacturing,41.25M
JRVR,James River Group Holdings,Insurance - Specialty,553.76M
JSPR,Jasper Therapeutics,Biotechnology,145.15M
JT,Jianpu Technology,Credit Services,19.73M
JTAI,Jet.AI,Software - Application,35.70M
JUN,Juniper II,Shell Companies,128.84M
JUPW,Jupiter Wellness,Drug Manufacturers - Specialty & Generic,30.47M
JVA,Coffee Holding Co.,Packaged Foods,6.96M
JWEL,Jowell Global,Internet Retail,6.96M
JWN,Nordstrom,Department Stores,2.51B
JWSM,Jaws Mustang Acquisition,Shell Companies,303.01M
JXJT,JX Luxventure,Apparel Manufacturing,9.58M
JXN,Jackson Financial,Insurance - Life,2.79B
JYD,Jayud Global Logistics,Integrated Freight & Logistics,56.80M
JYNT,The Joint,Medical Care Facilities,140.04M
JZ,Jianzhi Education Technology Group Company,Education & Training Services,50.75M
JZXN,Jiuzi Holdings,Auto & Truck Dealerships,4.30M
K,Kellogg Company,Packaged Foods,20.99B
KA,Kineta,Biotechnology,19.44M
KACL,Kairous Acquisition Corp.,Shell Companies,48.57M
KAI,Kadant,Specialty Industrial Machinery,2.50B
KALA,Kala Pharmaceuticals,Drug Manufacturers - Specialty & Generic,34.58M
KALU,Kaiser Aluminum,Aluminum,1.16B
KALV,KalVista Pharmaceuticals,Biotechnology,376.25M
KAMN,Kaman,Aerospace & Defense,617.05M
KAR,KAR Auction Services,Auto & Truck Dealerships,1.69B
KARO,Karooooo,Software - Application,717.14M
KAVL,Kaival Brands Innovations Group,Tobacco,31.41M
KB,KB Financial Group,Banks - Regional,15.23B
KBH,KB Home,Residential Construction,3.86B
KBNT,Kubient,Software - Application,7.30M
KBR,"KBR, Inc.",Engineering & Construction,8.24B
KC,Kingsoft Cloud Holdings,Software - Application,1.20B
KCGI,Kensington Capital Acquisition V,Shell Companies,363.28M
KD,Kyndryl Holdings,Information Technology Services,3.63B
KDP,Keurig Dr Pepper,Beverages - Non-Alcoholic,46.50B
KE,Kimball Electronics,Electrical Equipment & Parts,699.20M
KELYA,Kelly Services,Staffing & Employment Services,648.37M
KELYB,Kelly Services,Staffing & Employment Services,644.13M
KEN,Kenon Holdings,Utilities - Independent Power Producers,1.33B
KEP,Korea Electric Power,Utilities - Regulated Electric,8.56B
KEQU,Kewaunee Scientific,"Furnishings, Fixtures & Appliances",44.35M
KERN,Akerna,Health Information Services,2.66M
KEX,Kirby,Marine Shipping,4.87B
KEY,KeyCorp,Banks - Regional,10.18B
KEYS,Keysight Technologies,Scientific & Technical Instruments,22.97B
KFFB,Kentucky First Federal Bancorp,Banks - Regional,46.60M
KFRC,Kforce,Staffing & Employment Services,1.26B
KFS,Kingsway Financial Services,Auto & Truck Dealerships,241.63M
KFY,Korn Ferry,Staffing & Employment Services,2.80B
KGC,Kinross Gold,Gold,5.90B
KGS,Kodiak Gas Services,Oil & Gas Equipment & Services,1.41B
KHC,The Kraft Heinz Company,Packaged Foods,41.54B
KIDS,OrthoPediatrics,Medical Devices,847.26M
KIM,Kimco Realty,REIT - Retail,11.62B
KIND,Nextdoor Holdings,Internet Content & Information,807.23M
KINS,Kingstone Companies,Insurance - Property & Casualty,20.97M
KIQ,Kelso Technologies,Railroads,14.49M
KIRK,Kirkland's,Specialty Retail,34.08M
KITT,Nauticus Robotics,Aerospace & Defense,99.64M
KKR,KKR & Co.,Asset Management,66.57B
KLAC,KLA Corporation,Semiconductor Equipment & Materials,65.86B
KLIC,Kulicke and Soffa Industries,Semiconductor Equipment & Materials,2.87B
KLR,Kaleyra,Software - Application,90.75M
KLTR,Kaltura,Software - Infrastructure,265.90M
KLXE,KLX Energy Services Holdings,Oil & Gas Equipment & Services,181.52M
KMB,Kimberly-Clark,Household & Personal Products,43.70B
KMDA,Kamada,Drug Manufacturers - Specialty & Generic,243.04M
KMI,Kinder Morgan,Oil & Gas Midstream,38.64B
KMPR,Kemper,Insurance - Property & Casualty,2.97B
KMT,Kennametal,Tools & Accessories,2.08B
KMX,CarMax,Auto & Truck Dealerships,12.41B
KN,Knowles,Communication Equipment,1.48B
KNDI,Kandi Technologies Group,Auto Parts,245.81M
KNF,Knife River,Building Materials,2.72B
KNOP,KNOT Offshore Partners LP,Marine Shipping,177.90M
KNSA,Kiniksa Pharmaceuticals,Biotechnology,1.22B
KNSL,Kinsale Capital Group,Insurance - Property & Casualty,8.87B
KNSW,KnightSwan Acquisition,Shell Companies,108.62M
KNTE,Kinnate Biopharma,Biotechnology,96.54M
KNTK,Kinetik Holdings,Oil & Gas Midstream,1.90B
KNW,Know Labs,Scientific & Technical Instruments,35.45M
KNX,Knight-Swift Transportation Holdings,Trucking,8.80B
KO,The Coca-Cola Company,Beverages - Non-Alcoholic,261.15B
KOD,Kodiak Sciences,Biotechnology,119.07M
KODK,Eastman Kodak Company,Specialty Business Services,364.78M
KOF,Coca-Cola FEMSA,Beverages - Non-Alcoholic,18.32B
KOP,Koppers Holdings,Specialty Chemicals,774.58M
KOPN,Kopin,Electronic Components,152.66M
KORE,KORE Group Holdings,Telecom Services,61.60M
KOS,Kosmos Energy,Oil & Gas E&P,3.23B
KOSS,Koss Corporation,Consumer Electronics,33.26M
KPLT,Katapult Holdings,Software - Infrastructure,53.65M
KPRX,Kiora Pharmaceuticals,Biotechnology,3.95M
KPTI,Karyopharm Therapeutics,Biotechnology,164.17M
KR,The Kroger Co.,Grocery Stores,33.40B
KRBP,Kiromic BioPharma,Biotechnology,2.06M
KRC,Kilroy Realty,REIT - Office,4.09B
KREF,KKR Real Estate Finance Trust,REIT - Mortgage,804.39M
KRG,Kite Realty Group Trust,REIT - Retail,4.78B
KRKR,36Kr Holdings,Internet Content & Information,34.23M
KRMD,KORU Medical Systems,Medical Instruments & Supplies,118.21M
KRNL,Kernel Group Holdings,Shell Companies,146.17M
KRNT,Kornit Digital,Specialty Industrial Machinery,1.08B
KRNY,Kearny Financial,Banks - Regional,487.39M
KRO,Kronos Worldwide,Specialty Chemicals,946.93M
KRON,Kronos Bio,Biotechnology,85.14M
KROS,Keros Therapeutics,Biotechnology,1.07B
KRP,"Kimbell Royalty Partners, LP",Oil & Gas E&P,1.54B
KRT,Karat Packaging,Packaging & Containers,470.75M
KRTX,Karuna Therapeutics,Biotechnology,6.61B
KRUS,Kura Sushi USA,Restaurants,963.63M
KRYS,Krystal Biotech,Biotechnology,3.53B
KSCP,Knightscope,Security & Protection Services,96.97M
KSS,Kohl's,Department Stores,2.80B
KT,KT Corporation,Telecom Services,6.20B
KTB,Kontoor Brands,Apparel Manufacturing,2.59B
KTCC,Key Tronic,Computer Hardware,50.56M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,1.95B
KTRA,Kintara Therapeutics,Biotechnology,6.46M
KTTA,Pasithea Therapeutics,Biotechnology,15.82M
KUKE,Kuke Music Holding,Entertainment,17.38M
KULR,KULR Technology Group,Electronic Components,81.68M
KURA,Kura Oncology,Biotechnology,792.17M
KVAC,Keen Vision Acquisition,Shell Companies,171.18M
KVHI,KVH Industries,Communication Equipment,107.26M
KVSA,Khosla Ventures Acquisition Co.,Shell Companies,72.25M
KVUE,Kenvue,Household & Personal Products,43.99B
KW,Kennedy-Wilson Holdings,Real Estate Services,2.17B
KWE,KWESST Micro Systems,Aerospace & Defense,9.83M
KWR,Quaker Chemical,Specialty Chemicals,2.96B
KXIN,Kaixin Auto Holdings,Auto & Truck Dealerships,44.26M
KYCH,Keyarch Acquisition,Shell Companies,63.57M
KYMR,Kymera Therapeutics,Biotechnology,1.09B
KZIA,Kazia Therapeutics,Biotechnology,21.99M
KZR,Kezar Life Sciences,Biotechnology,119.94M
L,Loews,Insurance - Property & Casualty,14.14B
LAB,Standard BioTools,Diagnostics & Research,205.31M
LABP,Landos Biopharma,Biotechnology,11.56M
LAC,Lithium Americas,Other Industrial Metals & Mining,2.75B
LAD,Lithia Motors,Auto & Truck Dealerships,8.30B
LADR,Ladder Capital,REIT - Mortgage,1.33B
LAES,SEALSQ,Semiconductors,64.80M
LAKE,Lakeland Industries,Apparel Manufacturing,106.30M
LAMR,Lamar Advertising Company,REIT - Specialty,9.10B
LANC,Lancaster Colony,Packaged Foods,5.12B
LAND,Gladstone Land,REIT - Industrial,562.66M
LANV,Lanvin Group Holdings,Luxury Goods,593.30M
LARK,Landmark Bancorp,Banks - Regional,103.37M
LASE,Laser Photonics,Specialty Industrial Machinery,15.21M
LASR,nLIGHT,Semiconductors,504.17M
LATG,LatAmGrowth SPAC,Shell Companies,95.59M
LAUR,Laureate Education,Education & Training Services,2.19B
LAW,CS Disco,Software - Application,556.88M
LAZ,Lazard,Capital Markets,2.83B
LAZR,Luminar Technologies,Auto Parts,2.17B
LAZY,Lazydays Holdings,Auto & Truck Dealerships,157.39M
LBAI,Lakeland Bancorp,Banks - Regional,865.54M
LBBB,Lakeshore Acquisition II,Shell Companies,61.71M
LBC,Luther Burbank,Banks - Regional,455.68M
LBPH,Longboard Pharmaceuticals,Biotechnology,135.81M
LBRDA,Liberty Broadband,Telecom Services,12.99B
LBRDK,Liberty Broadband,Telecom Services,12.97B
LBRT,Liberty Energy,Oil & Gas Equipment & Services,2.70B
LBTYA,Liberty Global,Telecom Services,7.71B
LBTYB,Liberty Global,Telecom Services,7.71B
LBTYK,Liberty Global,Telecom Services,7.75B
LC,LendingClub,Credit Services,742.38M
LCA,Landcadia Holdings IV,Shell Companies,142.87M
LCAA,L Catterton Asia Acquisition,Shell Companies,307.12M
LCFY,Locafy,Internet Content & Information,8.61M
LCID,Lucid Group,Auto Manufacturers,13.74B
LCII,LCI Industries,Recreational Vehicles,3.12B
LCNB,LCNB Corp.,Banks - Regional,176.53M
LCTX,Lineage Cell Therapeutics,Biotechnology,236.23M
LCUT,Lifetime Brands,"Furnishings, Fixtures & Appliances",146.59M
LCW,Learn CW Investment,Shell Companies,301.88M
LDI,loanDepot,Mortgage Finance,611.20M
LDOS,Leidos Holdings,Information Technology Services,13.14B
LDWY,Lendway,Advertising Agencies,8.70M
LE,Lands' End,Specialty Retail,293.91M
LEA,Lear Corporation,Auto Parts,8.26B
LECO,Lincoln Electric Holdings,Tools & Accessories,10.70B
LEDS,SemiLEDs,Semiconductors,8.65M
LEE,Lee Enterprises,Publishing,67.40M
LEG,Leggett & Platt,"Furnishings, Fixtures & Appliances",3.68B
LEGH,Legacy Housing,Residential Construction,515.88M
LEGN,Legend Biotech,Biotechnology,12.72B
LEJU,Leju Holdings,Real Estate Services,25.19M
LEN,Lennar,Residential Construction,32.04B
LEN.B,Lennar,Residential Construction,32.15B
